Sample_ID,EB_Source_type,GPT_Source_type,Prompt
SAMN11474784,Human,Human,"Given the ncbi biosample information. SampleID:SAMN11474784,collected_by:PHE,isolation_source:human,host:Homo sapiens.Assign the record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN16481075,ND/Others,Avian,"Given the ncbi biosample information. Sample ID:SAMN16481075,collected_by:FLAG-Collaborator,isolation_source:environmental swab aquatic wildbird,attribute_package:environmental/food/other,ontological term:environmental(swab or sampling):GENEPIO_0001732| wild bird:CURATION_0000135,IFSAC+Category:environmental | wild animal,source_type:animal. Assign the record toone of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN03104699,Human,Human,"Given the ncbi biosample information. SampleID:SAMN03104699,collected_by:Minnesota Department ofHealth,isolation_source:feces,ontological term:feces:UBERON_0001988,IFSAC+Category:clinical/research| human,source_type:human,host:Homosapiens,host_age:0-4. Assign the record to one of the following host categories:Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN07173395,Human,Human,"Given the ncbi biosample information. SampleID:SAMN07173395,collected_by:CDC,isolation_source:stool,host_age:50-59. Assignthe record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN12262008,Human,Human,"Given the ncbi biosample information. SampleID:SAMN12262008,collected_by:Maryland Department ofHealth,isolation_source:human. Assign the record to one of the following hostcategories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN07501475,Poultry,"The record can be assigned to the ""Poultry"" category.","Given the ncbi biosample information. Sample ID:SAMN07501475,collected_by:USDA-FSIS,isolation_source:comminuted chicken. Assign the record to one of thefollowing host categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN08294319,Avian,Meat,"Given the ncbi biosample information. Sample ID:SAMN08294319,collected_by:FDAContracted Laboratory,isolation_source:ground component turkey,ontologicalterm:turkey (ground or minced):FOODON_00002714,source_type:food. Assign therecord to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN08567762,Human,Human,"Given the ncbi biosample information. SampleID:SAMN08567762,collected_by:CDC,isolation_source:blood,host_age:50-59. Assignthe record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
SAMN18675266,Human,"The record should be assigned to the ""Human"" category.","Given the ncbi biosample information. SampleID:SAMN18675266,collected_by:PHAC,isolation_source:stool,host:Homosapiens,host_disease:Gastroenteritis. Assign the record to one of the followinghost categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN02698346,Fish,Shellfish,"Given the ncbi biosample information. SampleID:SAMN02698346,collected_by:FDA,isolation_source:frozen whiteshrimp,attribute_package:environmental/food/other,ontological term:shrimp(frozen):FOODON_03301169|northern white shrimp:FOODON_03411149,IFSAC+Category:crustaceans,source_type:food. Assign the record to one of the followinghost categories: Camelid,Not determined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,AnimalFeed,Fish,Rodent,Avian,Plant,Laboratory,Composite Food. Only reply with thecategory. Use Not determined if not sure."
SAMN18820663,Human,Human,"Given the ncbi biosample information. SampleID:SAMN18820663,collected_by:PHAC,isolation_source:urine,host:Homo sapiens.Assign the record to one of the following host categories: Camelid,Notdetermined,Equine,Feline,Marine Mammal,Dairy,Primate,Soil/Dust,Meat,Human,Air,Swine,Deer,Amphibian,Reptile,Bat,Bovine,Shellfish,Marsupial,Invertebrates,Ovine,Water,Canine,Other Mammal,Animal Feed,Fish,Rodent,Avian,Plant,Laboratory,CompositeFood. Only reply with the category. Use Not determined if not sure."
